epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9711,3.18266,4.29184,4.20751,0.50604,0.5,0.03879,0.01168,3.21366,7.91603,3.79177,0.000412946,0.000412946,0.000412946
2,36.5574,3.02767,3.6213,3.73064,0.12959,0.59726,0.23657,0.0567,2.87413,29.4099,3.86653,0.00082941,0.00082941,0.00082941
3,54.249,2.85749,3.29763,3.41142,0.18754,0.18699,0.1348,0.04946,2.29896,5.45727,3.05321,0.00124506,0.00124506,0.00124506
4,72.0899,2.64718,2.93633,3.18745,0.46586,0.38783,0.3421,0.13063,2.51141,3.96941,3.00355,0.00124725,0.00124725,0.00124725
5,91.7052,2.42482,2.68292,2.97371,0.30333,0.63987,0.41721,0.16492,2.0186,3.43619,2.65887,0.00124512,0.00124512,0.00124512
6,110.683,2.27699,2.49786,2.79882,0.42486,0.68252,0.56378,0.22745,2.10474,2.39295,2.55026,0.00124238,0.00124238,0.00124238
7,129.418,2.1522,2.33893,2.6209,0.57879,0.5748,0.62909,0.23614,2.044,1.93233,2.58649,0.00123904,0.00123904,0.00123904
8,148.512,1.98732,2.0935,2.45634,0.73247,0.68413,0.73171,0.34888,1.89687,2.36221,2.30788,0.0012351,0.0012351,0.0012351
9,167.638,1.88501,1.88925,2.3144,0.85631,0.75195,0.83141,0.33771,1.95877,2.23988,2.38404,0.00123056,0.00123056,0.00123056
10,186.328,1.803,1.8191,2.24616,0.85821,0.76061,0.86911,0.41453,1.7525,1.41179,2.21128,0.00122543,0.00122543,0.00122543
11,205.705,1.79062,1.71851,2.20887,0.81939,0.84929,0.90024,0.55984,1.4455,1.18176,1.92827,0.00121972,0.00121972,0.00121972
12,225.338,1.69059,1.6095,2.12691,0.90369,0.85125,0.88041,0.48769,1.67012,1.50865,2.07604,0.00121342,0.00121342,0.00121342
13,244.293,1.62845,1.53376,2.0465,0.92498,0.84729,0.88412,0.43425,1.75318,1.24396,2.12521,0.00120655,0.00120655,0.00120655
14,263.81,1.57186,1.41616,1.98918,0.93567,0.87105,0.92776,0.50579,1.63933,1.32307,1.99957,0.00119911,0.00119911,0.00119911
15,283.666,1.51859,1.36817,1.95003,0.94498,0.89627,0.9428,0.45873,1.63096,1.23931,2.0869,0.00119111,0.00119111,0.00119111
16,302.669,1.50541,1.35438,1.91471,0.90809,0.89478,0.9297,0.42098,1.82904,1.29401,2.30713,0.00118256,0.00118256,0.00118256
17,322.526,1.47436,1.29603,1.8864,0.96935,0.91253,0.95358,0.47708,1.70522,1.06796,2.04357,0.00117346,0.00117346,0.00117346
18,342.98,1.44489,1.26944,1.86512,0.94555,0.91433,0.93654,0.38652,1.92714,1.03011,2.25541,0.00116383,0.00116383,0.00116383
19,362.492,1.3846,1.21371,1.79198,0.96474,0.91699,0.9535,0.52478,1.49695,0.90811,1.89206,0.00115368,0.00115368,0.00115368
20,383.216,1.3953,1.1846,1.81588,0.94023,0.8677,0.94852,0.54079,1.48802,1.14885,1.88604,0.00114301,0.00114301,0.00114301
21,403.702,1.38028,1.16476,1.79465,0.94173,0.9342,0.9536,0.47798,1.65627,0.8944,2.05456,0.00113183,0.00113183,0.00113183
22,423.347,1.34016,1.14641,1.76513,0.96425,0.93509,0.94826,0.4931,1.58623,0.86731,1.99018,0.00112016,0.00112016,0.00112016
23,443.689,1.36641,1.12784,1.75605,0.96491,0.91659,0.93212,0.4587,1.73049,0.93533,2.13319,0.00110801,0.00110801,0.00110801
24,464.057,1.33984,1.1315,1.75212,0.96196,0.91898,0.94959,0.53715,1.53295,0.82092,1.91548,0.00109538,0.00109538,0.00109538
25,483.725,1.30001,1.07427,1.72804,0.93716,0.91253,0.93312,0.5368,1.48492,0.83905,1.83927,0.0010823,0.0010823,0.0010823
26,504.161,1.27753,1.03392,1.67555,0.9591,0.944,0.96146,0.49793,1.66985,0.82528,2.15173,0.00106877,0.00106877,0.00106877
27,524.598,1.28779,1.02374,1.67584,0.9668,0.88272,0.94201,0.5206,1.52714,0.96138,1.93464,0.00105481,0.00105481,0.00105481
28,544.662,1.28048,1.03398,1.68084,0.96728,0.93044,0.9582,0.58285,1.38839,0.78972,1.81408,0.00104044,0.00104044,0.00104044
29,565.614,1.24091,1.00941,1.65951,0.9831,0.94156,0.96989,0.56034,1.47118,0.74936,1.9145,0.00102566,0.00102566,0.00102566
30,586.41,1.23042,0.96597,1.62568,0.96348,0.95528,0.97018,0.60291,1.34524,0.71469,1.72259,0.00101049,0.00101049,0.00101049
31,607.038,1.21091,0.9474,1.63361,0.96342,0.91659,0.95381,0.62279,1.24598,0.77339,1.63899,0.000994942,0.000994942,0.000994942
32,627.418,1.19012,0.93372,1.60533,0.98388,0.92333,0.96522,0.60867,1.31327,0.74518,1.73303,0.000979039,0.000979039,0.000979039
33,648.619,1.18603,0.94275,1.58598,0.9623,0.93658,0.95776,0.66902,1.2098,0.69666,1.63802,0.000962793,0.000962793,0.000962793
34,668.33,1.17591,0.89624,1.58566,0.96611,0.94196,0.9553,0.51701,1.61445,0.7467,2.09073,0.000946219,0.000946219,0.000946219
35,687.325,1.16952,0.9014,1.58882,0.98204,0.92891,0.96286,0.63352,1.2582,0.73056,1.65963,0.000929335,0.000929335,0.000929335
36,707.287,1.13993,0.90447,1.56147,0.95904,0.94505,0.9615,0.58876,1.39783,0.70275,1.85477,0.000912157,0.000912157,0.000912157
37,728.864,1.15702,0.87827,1.54587,0.95819,0.93757,0.96019,0.60097,1.36872,0.67949,1.75168,0.000894701,0.000894701,0.000894701
38,749.139,1.13118,0.86391,1.54474,0.96538,0.9397,0.95844,0.56253,1.43376,0.74598,1.8522,0.000876985,0.000876985,0.000876985
39,769.764,1.10619,0.84367,1.53793,0.96615,0.93525,0.9588,0.60897,1.32901,0.70491,1.74168,0.000859027,0.000859027,0.000859027
40,790.212,1.11598,0.84025,1.53095,0.95442,0.94715,0.95904,0.63308,1.27929,0.6816,1.65711,0.000840844,0.000840844,0.000840844
41,810.421,1.12031,0.82887,1.52356,0.963,0.94715,0.96981,0.6413,1.22982,0.72757,1.67384,0.000822454,0.000822454,0.000822454
42,831.176,1.1354,0.85042,1.53107,0.9668,0.95935,0.96874,0.62605,1.25461,0.69935,1.66946,0.000803876,0.000803876,0.000803876
43,851.553,1.09608,0.83513,1.51954,0.95652,0.95431,0.95411,0.60123,1.36005,0.7119,1.7781,0.000785127,0.000785127,0.000785127
44,872.211,1.11267,0.83406,1.5347,0.96904,0.93352,0.96194,0.67523,1.13579,0.64851,1.55081,0.000766226,0.000766226,0.000766226
45,893.112,1.11477,0.81368,1.52275,0.9554,0.91781,0.948,0.59674,1.3877,0.74992,1.78583,0.000747192,0.000747192,0.000747192
46,913.82,1.07248,0.76043,1.48735,0.96638,0.9289,0.95874,0.67174,1.14309,0.63283,1.51671,0.000728044,0.000728044,0.000728044
47,934.149,1.10408,0.81545,1.51206,0.98894,0.94309,0.96956,0.67655,1.15453,0.6232,1.52558,0.0007088,0.0007088,0.0007088
48,954.899,1.05733,0.76155,1.47067,0.96871,0.94642,0.96822,0.64328,1.22914,0.64444,1.59715,0.00068948,0.00068948,0.00068948
